from,to,edge_label,status,multiplicity,source,rule_explanation,review_timestamp,reviewer_id,exception_flag,automation_score,dashboard_alert,recognition_badge
ORGANIZATION:MAELSTROM,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MAELSTROM,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MAELSTROM,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MAELSTROM,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MAELSTROM,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MAELSTROM,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:TYGER_CLAWS,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:TYGER_CLAWS,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:TYGER_CLAWS,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:TYGER_CLAWS,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:TYGER_CLAWS,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:VALENTINOS,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:VALENTINOS,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:VALENTINOS,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:VALENTINOS,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:VALENTINOS,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:6TH_STREET,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:6TH_STREET,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:6TH_STREET,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:6TH_STREET,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:6TH_STREET,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MOXES,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MOXES,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MOXES,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MOXES,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:MOXES,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:ANIMALS,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:ANIMALS,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:ANIMALS,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:ANIMALS,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:ANIMALS,ORGANIZATION:ANIMALS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:BOZOS,ORGANIZATION:MAELSTROM,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:BOZOS,ORGANIZATION:TYGER_CLAWS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:BOZOS,ORGANIZATION:VALENTINOS,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:BOZOS,ORGANIZATION:6TH_STREET,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ORGANIZATION:BOZOS,ORGANIZATION:MOXES,HAS_RELATION,ACTIVE,N:M,gang_relationships_matrix.tsv,Extracted from gang_relationships_matrix.tsv,2025-05-26T03:44:05.887792,import_script,False,0.9,,
ENTITY:SENIOR_ENGINEER_SDPR_COMMANDER,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:0‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:OIL_WORKERENGINEER_SDPR_CREW,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:1‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:ROV_TECHNICIAN,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:2‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:RIG_SECURITY_OFFICER,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:3‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:MEDICAL_PERSONNEL_RIG_MEDIC,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:4‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:RESEARCHER_RIG,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:5‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-2wcG7sM4iEt6LmgudkzPKR),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
ENTITY:FARMAGRITECH_WORKER,ORGANIZATION:PETROCHEM,MEMBER_OF,ACTIVE,N:1, [oai_citation:6‡Cyberpunk-2020-Corpbook-III-Petrochem-and-Sovoil.pdf](file-service://file-Tig4vSipfVtKGz8j8tkg1r),Auto-linked from industrial_personnel_table.tsv,2025-05-26T03:44:05.887792,import_script,False,0.85,,
